Country_Code,Country,Year,Production,Land,Labor,N,P,K,Pesticides,fert,lnprod,lnland,lnlabor,lnN,lnP,lnK,lnpest,lnfert
13,Indonesia,2012,120102,56500000,41431400,2947040,766771,1490000,1597,5203810,12,18,18,15,14,14,7,15
13,Indonesia,2013,122016,57000000,40652520,2791106,748612,1620000,1597,5159719,12,18,18,15,14,14,7,15
13,Indonesia,2014,124657,57000000,40501400,2909406,768005,1783265,1597,5460675,12,18,18,15,14,14,7,16
13,Indonesia,2015,130347,57300000,39329660,2818598,787273,1837166,1597,5443037,12,18,17,15,14,14,7,16
13,Indonesia,2016,131711,60200000,38356922,2964028,838157,1642054,1597,5444239,12,18,17,15,14,14,7,16
13,Indonesia,2017,135639,62300000,38241088,2951991,785222,2087755,1597,5824968,12,18,17,15,14,15,7,16
13,Indonesia,2018,138649,62300000,37562573,3237087,816679,2164666,1597,6218433,12,18,17,15,14,15,7,16
14,Iran,1990,27008,61500000,,558100,587000,15900,10644,1161000,10,18,,13,13,10,9,14
14,Iran,1991,27175,62997000,3169848,658000,490000,1000,16349,1149000,10,18,15,13,13,7,10,14
14,Iran,1992,30674,63787000,3220706,834360,487600,28000,11683,1349960,10,18,15,14,13,10,9,14
14,Iran,1993,31834,64152000,3286394,555000,321100,25000,9572,901100,10,18,15,13,13,10,9,14
14,Iran,1994,32263,64157000,3353158,609000,368000,27000,10324,1004000,10,18,15,13,13,10,9,14
14,Iran,1995,33235,64208000,3401687,633000,379000,5200,8746,1017200,10,18,15,13,13,9,9,14
14,Iran,1996,34713,64427000,3437034,685225,374100,20000,5332,1079325,10,18,15,13,13,10,9,14
14,Iran,1997,34142,63832000,3618556,830025,340028,37149,6348,1207202,10,18,15,14,13,11,9,14
14,Iran,1998,39154,64787000,3787413,878000,330000,60000,7364,1268000,11,18,15,14,13,11,9,14
14,Iran,1999,34971,63687000,3989316,847800,361200,121400,8380,1330400,10,18,15,14,13,12,9,14
14,Iran,2000,36126,62884000,4161308,862572,412733,118258,9395,1393563,10,18,15,14,13,12,9,14
14,Iran,2001,36402,63823000,4369898,864108,313648,147863,9008,1325619,11,18,15,14,13,12,9,14
14,Iran,2002,42721,64044000,4541657,947120,342416,119351,9592,1408887,11,18,15,14,13,12,9,14
14,Iran,2003,43819,64265000,4798433,998279,382961,132114,10129,1513354,11,18,15,14,13,12,9,14
14,Iran,2004,43217,64486000,5116902,1043417,423506,144877,10015,1611801,11,18,15,14,13,12,9,14
14,Iran,2005,47293,47631000,5266401,1089424,464051,157640,7808,1711115,11,18,15,14,13,12,9,14
14,Iran,2006,49449,47852000,4981016,1355646,572636,189081,8253,2117363,11,18,15,14,13,12,9,15
14,Iran,2007,53012,48073000,4927828,1116791,392759,138964,5923,1648514,11,18,15,14,13,12,9,14
14,Iran,2008,40550,46685000,4444812,1193567,384669,102167,3017,1680403,11,18,15,14,13,12,8,14
14,Iran,2009,44577,46686200,4419404,1033932,339435,33691,4050,1407058,11,18,15,14,13,10,8,14
14,Iran,2010,47243,46539400,3995331,943707,404094,41129,4382,1388930,11,18,15,14,13,11,8,14
14,Iran,2011,46181,46392600,3952478,559006,144967,30950,4714,734923,11,18,15,13,12,10,8,14
14,Iran,2012,48090,46245800,3943528,670332,89330,26974,7052,786636,11,18,15,13,11,10,9,14
14,Iran,2013,49697,45954000,3990240,626029,204037,4287,6494,834353,11,18,15,13,12,8,9,14
14,Iran,2014,53514,45954000,3907370,701510,248441,125329,6610,1075280,11,18,15,13,12,12,9,14
14,Iran,2015,52204,45954000,4067462,564053,97966,35277,6726,697296,11,18,15,13,11,10,9,13
14,Iran,2016,55097,45954000,4182690,564912,97966,35277,6841,698154,11,18,15,13,11,10,9,13
